Date,Source IP,Target,Attack Type,Result
2025-01-05,10.0.0.5,Server B,Phishing Attempt,Credentials Compromised
2025-01-05,203.0.113.22,Server A,SQL Injection,Partial Data Leak
2025-01-06,192.168.1.10,Server B,Brute Force,Access Denied
2025-01-01,192.168.1.10,Server B,Phishing Attempt,User Alerted
2025-01-03,10.0.0.5,Server C,SQL Injection,Partial Data Leak
2025-01-07,10.0.0.5,Server C,Brute Force,Access Denied
2025-01-01,192.168.1.10,Server A,Phishing Attempt,Credentials Compromised
2025-01-06,203.0.113.22,Server C,Brute Force,Access Denied
2025-01-02,192.168.1.10,Server A,Phishing Attempt,User Alerted
2025-01-01,192.168.1.10,Server A,Brute Force,User Locked Out
2025-01-02,10.0.0.5,Server C,Brute Force,User Locked Out
2025-01-05,203.0.113.22,Server C,Brute Force,Access Denied
2025-01-06,203.0.113.22,Server C,Phishing Attempt,Credentials Compromised
2025-01-06,192.168.1.10,Server B,SQL Injection,Partial Data Leak
2025-01-07,192.168.1.10,Server A,Brute Force,User Locked Out
2025-01-01,203.0.113.22,Server B,SQL Injection,Partial Data Leak
2025-01-01,192.168.1.10,Server A,Brute Force,User Locked Out
2025-01-03,203.0.113.22,Server C,Brute Force,Access Denied
2025-01-02,192.168.1.10,Server C,Phishing Attempt,User Alerted
2025-01-01,10.0.0.5,Server C,Phishing Attempt,Credentials Compromised
2025-01-04,203.0.113.22,Server B,Brute Force,Access Denied
2025-01-07,203.0.113.22,Server B,SQL Injection,Partial Data Leak
2025-01-07,192.168.1.10,Server B,SQL Injection,No Leak Detected
2025-01-04,192.168.1.10,Server C,Phishing Attempt,User Alerted
2025-01-05,192.168.1.10,Server B,Phishing Attempt,User Alerted
2025-01-02,192.168.1.10,Server B,SQL Injection,Partial Data Leak
2025-01-03,192.168.1.10,Server C,Phishing Attempt,User Alerted
2025-01-03,203.0.113.22,Server A,Phishing Attempt,User Alerted
2025-01-01,192.168.1.10,Server B,Brute Force,User Locked Out
2025-01-06,192.168.1.10,Server B,Brute Force,Access Denied
2025-01-01,192.168.1.10,Server B,Brute Force,User Locked Out
2025-01-03,10.0.0.5,Server C,Phishing Attempt,User Alerted
2025-01-04,10.0.0.5,Server B,SQL Injection,Partial Data Leak
2025-01-02,10.0.0.5,Server A,SQL Injection,No Leak Detected
2025-01-06,10.0.0.5,Server A,Brute Force,User Locked Out
2025-01-04,203.0.113.22,Server B,SQL Injection,Partial Data Leak
2025-01-02,192.168.1.10,Server B,SQL Injection,Partial Data Leak
2025-01-07,192.168.1.10,Server C,SQL Injection,Partial Data Leak
2025-01-07,203.0.113.22,Server B,SQL Injection,No Leak Detected
2025-01-03,10.0.0.5,Server A,Brute Force,Access Denied
